facilityuid,facility,code,ward,sub_county,county,indicator,period,dhis2_value,datim_value,gender,age
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2019Q4,33,87.0,(F),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q1,14,13.0,,1-9
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2019Q4,15,53.0,(F),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,9,10.0,(M),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,7,39.0,(F),15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,gMICOUtzqRb,2019Q4,3,5.0,(F),10-14
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,11,16.0,(F),20-24
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2019Q4,7,10.0,,1-9
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,26,74.0,(F),15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q1,6,13.0,(F),15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,5,15.0,(F),15-19
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2019Q4,130,127.0,(F),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,27,16.0,(F),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q2,1,2.0,,1-9
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q1,15,9.0,(F),15-19
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,gMICOUtzqRb,2019Q4,6,11.0,(F),10-14
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,gMICOUtzqRb,2020Q1,3,12.0,(F),10-14
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,gMICOUtzqRb,2020Q2,3,5.0,(F),10-14
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2019Q4,24,54.0,(F),20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q2,27,39.0,(F),20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q1,14,18.0,(M),20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q2,13,20.0,(M),20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,2019Q4,15,36.0,(F),15-19
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,2020Q2,17,27.0,(F),15-19
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,gTkVw97FnQK,2020Q2,33,34.0,(M),25+
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2019Q4,33,70.0,(F),20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q1,38,58.0,(F),20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2019Q4,5,5.0,(M),10-14
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2020Q1,3,4.0,(M),10-14
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2020Q2,2,2.0,(M),10-14
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2019Q4,12,12.0,,1-9
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2019Q4,10,11.0,(M),20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2020Q2,7,3.0,(M),20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2019Q4,18,42.0,(F),15-19
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q2,15,19.0,(F),20-24
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2019Q4,3,2.0,(M),10-14
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2019Q4,2,2.0,,1-9
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2020Q1,6,6.0,,1-9
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2019Q4,16,9.0,(M),20-24
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2020Q2,7,8.0,(M),20-24
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q1,14,15.0,(F),15-19
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q2,4,9.0,(F),15-19
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2019Q4,158,121.0,(F),20-24
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q1,136,115.0,(F),20-24
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,2019Q4,110,99.0,(F),15-19
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,JiuqbydCIcy,2020Q2,25,43.0,(F),20-24
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,pkShOkgNQt2,2020Q1,35,35.0,(M),20-24
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,YXJf27jfkvS,2020Q1,42,45.0,(F),15-19
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,YXJf27jfkvS,2020Q2,17,20.0,(F),15-19
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2019Q4,12,46.0,(F),20-24
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2019Q4,3,9.0,,1-9
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2019Q4,8,8.0,(M),20-24
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2020Q2,5,3.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,gTkVw97FnQK,2019Q4,240,237.0,(M),25+
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2019Q4,155,153.0,(F),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q1,117,134.0,(F),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,2019Q4,29,29.0,(M),10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,2020Q1,11,11.0,(M),10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,2020Q2,3,3.0,(M),10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,OePJt8CcZ0d,2019Q4,15,15.0,,1-9
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,OePJt8CcZ0d,2020Q1,10,10.0,,1-9
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2019Q4,81,82.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q1,65,63.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q2,50,47.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,2020Q1,89,116.0,(F),15-19
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2019Q4,83,133.0,(F),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q1,49,62.0,(F),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q2,38,45.0,(F),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2019Q4,103,106.0,(M),10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2020Q1,23,23.0,(M),10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2020Q2,5,5.0,(M),10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,OePJt8CcZ0d,2020Q1,27,26.0,,1-9
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,OePJt8CcZ0d,2020Q2,6,6.0,,1-9
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2019Q4,28,24.0,(M),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2020Q2,19,19.0,(M),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,2020Q1,41,50.0,(F),15-19
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,2020Q2,47,52.0,(F),15-19
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2019Q4,44,81.0,(F),20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q1,41,65.0,(F),20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q2,24,49.0,(F),20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2020Q2,12,28.0,(F),15-19
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,11,10.0,(M),10-14
