facilityuid,facility,code,ward,sub_county,county,indicator,indicator_name,period,dhis2_value,other,gender,short_indicator_name,age
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,33,87,female,tested,20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q1,14,13,n,tested,1-9
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,15,53,female,tested,20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,9,10,male,tested,20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,7,39,female,tested,15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2019Q4,3,5,female,tested,10-14
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,11,16,female,tested,20-24
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,7,10,n,tested,1-9
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,26,74,female,tested,15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,6,13,female,tested,15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,5,15,female,tested,15-19
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,130,127,female,tested,20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,27,16,female,tested,20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q2,1,2,n,tested,1-9
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,15,9,female,tested,15-19
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2019Q4,6,11,female,tested,10-14
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2020Q1,3,12,female,tested,10-14
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2020Q2,3,5,female,tested,10-14
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,24,54,female,tested,20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,27,39,female,tested,20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,14,18,male,tested,20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,13,20,male,tested,20-24
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,15,36,female,tested,15-19
bi747puqsrA,Matoso Health Clinic,13793,Got kachola Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,17,27,female,tested,15-19
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,gTkVw97FnQK,MOH 731 Tested_25+ (M) HV01-08,2020Q2,33,34,male,tested,25+
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,33,70,female,tested,20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,38,58,female,tested,20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,5,5,male,tested,10-14
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q1,3,4,male,tested,10-14
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q2,2,2,male,tested,10-14
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,12,12,n,tested,1-9
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,10,11,male,tested,20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,7,3,male,tested,20-24
BSIVRetkq9o,Getongoroma Dispensary,13569,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,18,42,female,tested,15-19
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,15,19,female,tested,20-24
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,3,2,male,tested,10-14
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,2,2,n,tested,1-9
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q1,6,6,n,tested,1-9
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,16,9,male,tested,20-24
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,7,8,male,tested,20-24
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,14,15,female,tested,15-19
bSxPFKvm0Qh,Kehancha Mother & Child Hospital,13665,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,4,9,female,tested,15-19
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,158,121,female,tested,20-24
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,136,115,female,tested,20-24
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,110,99,female,tested,15-19
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,25,43,female,tested,20-24
